# VM invoker: C:\Program Files\Java\jdk1.8.0_65\jre\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: org.ucsc.capnp.bench.RunCapnpCar.CapnpUse

# Run progress: 0.00% complete, ETA 00:08:50
# Fork: 1 of 10
Iteration   6: n = 18438, mean = 1047 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 101239, 618496 ns/op
Iteration   7: n = 18435, mean = 1051 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 122514, 663552 ns/op
Iteration   8: n = 18493, mean = 1047 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 102657, 643072 ns/op
Iteration   9: n = 18403, mean = 1022 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 9022, 20512 ns/op
Iteration  10: n = 18460, mean = 1014 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 3848, 3848 ns/op
Iteration  11: n = 18474, mean = 1015 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 12514, 17952 ns/op
Iteration  12: n = 18313, mean = 1058 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 3420, 108411, 609280 ns/op
Iteration  13: n = 18467, mean = 1019 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 6868, 9408 ns/op
Iteration  14: n = 18452, mean = 1017 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 6357, 15392 ns/op
Iteration  15: n = 18574, mean = 1008 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 4698, 7264 ns/op
Iteration  16: n = 18377, mean = 1024 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 2992, 17155, 17504 ns/op
Iteration  17: n = 18465, mean = 1014 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 4305, 9919, 26912 ns/op
Iteration  18: n = 18489, mean = 1017 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 3420, 20430, 29504 ns/op
Iteration  19: n = 18356, mean = 1023 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 4704, 6910, 7264 ns/op
